No,Student ID,Last Name,First Name,Gender,Date Of Birth,Social ID
1,23127002,Le Nhat,Khoi,Male,23/06/2005,55554463
2,23127011,Le Anh,Duy,Male,24/05/2005,12256
3,23127144,Dinh Dai,Vu,Male,12/9/2005,12253
4,23127158,Nguyen Thanh Gia,Bao,Male,14/06/2005,666475
5,23127165,Nguyen Hai,Dang,Male,11/9/2005,1124839
6,23127181,Nguyen Tran Quoc,Duy,Male,12/8/2005,12252
7,23127189,Tran Trong,Hieu,Male,12/10/2005,12254
8,23127271,Nguyen Ngoc Bich,Tram,Female,24/05/2005,12255
9,23127333,Truong Quoc,Cuong,Male,11/7/2005,443883
10,23127404,Le Tuan,Loc,Male,12/7/2005,12251
